,content,replyCount,retweetCount,likeCount,quoteCount,year,month,day
48,"#Eisenmann mit klarer Botschaft: ""Viele im Handel und in der Gastronomie kämpfen ums wirtschaftliche Überleben. Sie zu unterstützen, ist keine Klientelpolitik, wie uns die Grünen vorwerfen - hier geht’s um Existenzen von Familien und ihre Jobs!"" #ltwbw21 @CDU_BW #wirtschaft https://t.co/srwHV4NEvi",30,15,82,0,2021,3,1
49,"#Eisenmann: ""Ja, zu mehr digitaler Schule. Und: Technik muss Pädagogik folgen und nicht umgekehrt. In einer Zeit des technologischen Wandels ist es erst recht wichtig, Persönlichkeit auszubilden und soziale Verantwortung zu erlernen.""
#ltwbw21 @CDU_BW #tvduell https://t.co/i6ACuv78zz",18,6,58,2,2021,3,1
50,"Word. #Eisenmann.👇
https://t.co/qREJTGehpw",10,2,15,0,2021,3,1
51,"#Eisenmann im #TVDuell: ""Schrittweise und verantwortungsvoll Perspektiven eröffnen - darum geht’s bei der Debatte um Öffnungen. Vor allem Kinder und junge Menschen brauchen wieder eine Perspektive. Das Wohl von Kindern muss im Mittelpunkt stehen."" 
#ltwbw21 @CDU_BW #CDU",21,9,54,0,2021,3,1
52,"Bühne frei für das #TVDuell.

Zum Livestream: https://t.co/jf052aeKlu
#ltwbw21 #eisenmann https://t.co/hLxL8EpCxA",2,6,23,0,2021,3,1
53,"Um 20.15 Uhr startet das #TVDuell im #SWR. 
Für die #neueZeit. Mit Susanne #Eisenmann für Baden-Württemberg 🚀

@CDU_BW #ltwbw21 https://t.co/gWB99CpfLl",4,8,51,2,2021,3,1
54,"Das TV-Duell darf in keinem Wahlkampf fehlen. Heute Abend zeigt Spitzenkandidatin Susanne #Eisenmann im ""#SWR – Das Duell“, warum Baden-Württembergs Zukunft eine starke @CDU_BW braucht. #ltwbw21

🍿 Schaltet ein!
📺 20.15 Uhr | @SWRAktuellBW 
🗳️ Am 14. März #CDU wählen! https://t.co/oB6npl8YW8",16,11,48,4,2021,3,1
55,".@ArminLaschet macht im Interview mit der @RheinZeitung klar: „Nur die #CDU verbindet Sicherheit und Stabilität mit neuen Ideen für die Fragen und Themen, die nach der Pandemie anstehen. Mit Rot-Rot-Grün gibt es kein Modernisierungsjahrzehnt.“ https://t.co/dSO4yM3zmz",119,18,90,14,2021,3,1
56,"TV-Tipp zur #ltwbw21: Morgen Abend um 20.15 Uhr zum #TVDuell einschalten‼️
@CDU_BW-Spitzenkandidatin Susanne #Eisenmann kämpft für eine starke #CDU in #Baden-Württemberg. Für mehr Investitionen in Zukunftstechnologien und eine zukunftsfeste Wirtschaft. 🗳️ Am 14. März CDU wählen! https://t.co/OkWAqQu24D",67,21,100,13,2021,2,28
57,Unser TV-Tipp für heute Abend - Schalten Sie ein! @ArminLaschet ist um 19.10 Uhr bei @berlindirekt im @ZDF und um 20 Uhr in der @tagesschau. https://t.co/ay2SyNq6Pc,109,21,85,6,2021,2,28
